t,d,x1,x2
2.6339481,1,.3239761,.2515998
2.6825467,1,-.5139768,2.068204
3.1219279,1,.4419204,.6845616
2.5358393,1,.8039071,-.0997055
5,0,-1.00491,.7697866
1.7645487,1,.325522,-.876659
1.9895981,1,-1.143043,-.4574848
2.1565145,1,2.237686,1.411723
5,0,2.063759,1.755064
5,0,.1951388,.2178041
.2382123,1,-.1264221,1.63353
5,0,1.363365,2.666094
5,0,.0293685,.7968933
5,0,.9364863,-1.504411
5,0,.0641817,-.5827691
2.6727515,1,2.31568,.6606993
5,0,.6661859,-.4031793
5,0,.0158368,1.112886
.11627829,1,-.7809448,.9903988
5,0,-1.01894,-.6708575
.4139491,1,1.071833,-.8738338
5,0,.232036,.9829466
5,0,-1.265972,.3510818
.92744674,1,.2893867,-1.146168
5,0,-.5889323,-1.420004
5,0,-.2834653,.3709003
1.9895501,1,1.036383,-.6201454
5,0,-.7321355,-.0707069
5,0,.7268063,-2.390124
4.6676953,1,.3311264,.1385452
5,0,.461272,-.3379821
5,0,1.560187,-.5160185
5,0,.7634404,.406636
.83404428,1,1.64565,1.205189
5,0,1.026334,-.6323205
5,0,-.873329,-1.030478
.03122571,1,1.217797,-1.043579
4.7716913,1,-.5390847,-.7821798
.55043742,1,.3126,.8256444
5,0,.9543538,-.1089286
5,0,.1848513,-.5682173
2.9217198,1,.0663764,-.7369862
.05908725,1,.3225776,.2452312
5,0,.5706598,.6236593
2.9796021,1,.4410164,-.9012675
5,0,.1931212,.1313606
2.149354,1,.8575406,.82892
2.8562111,1,1.502509,-.4653783
3.7704297,1,-.9009253,-2.236465
5,0,.3242951,-1.056298
5,0,1.249957,-.0006287
.81314835,1,.1283603,1.182215
5,0,-.1648297,-.6730485
5,0,-.2430061,.5618001
5,0,.1538257,-1.254039
4.3621225,1,.2907984,2.269937
.39208624,1,-.5587309,-.2746994
4.4133495,1,.1155815,-.1341008
5,0,-.9841133,1.01164
3.0473705,1,-1.670802,-.7415116
1.7867432,1,-.0945917,.117607
.18695158,1,.7093662,.8681287
.43112143,1,-1.842358,-.4700519
2.8398777,1,.0544416,-.7807453
4.6427246,1,-.0614688,-1.168167
.95494031,1,-.1726055,-.6334193
5,0,-.913774,-2.098377
.04894927,1,1.627689,-.6875426
5,0,-.0175558,1.318285
5,0,1.021116,1.455177
2.4237417,1,-1.134503,.9025959
.84970906,1,.9759551,.7344663
5,0,.8226462,-.254219
5,0,.4686687,1.892326
.47914954,1,-1.199661,-1.020344
2.8208294,1,-1.222057,.8087157
.01333882,1,-1.186487,-.7155898
.1168541,1,-.5234485,-.0886005
2.5401367,1,-.3298445,.9956263
5,0,.1930119,-.1379408
5,0,-1.147798,.1176733
5,0,-1.349623,-.8539159
5,0,-.9551283,-.0750161
5,0,-1.219531,-1.898057
5,0,.1345439,-.0010644
5,0,.4185179,.3137328
.01622301,1,-.6816597,-.4066718
.42804357,1,-.0409262,.9575928
5,0,-.4063157,.2097085
5,0,.7427121,-1.269328
.02464344,1,-.0206027,.4918031
.00887418,1,.1778405,-.2607892
.10617463,1,-.243276,.0119749
1.346075,1,.5724049,2.391508
5,0,-1.323248,1.359356
1.1734896,1,1.280619,.4096418
5,0,.2518688,-.1815735
2.342758,1,-.8894343,.494614
5,0,-.2548958,-1.548011
5,0,.1667829,.4887446
3.2293913,1,1.878361,.6546612
2.7309697,1,1.154962,1.029042
.64763271,1,-.0650589,.6078709
5,0,.2981318,.7369484
.50214284,1,-.3543328,1.36697
2.6295694,1,-1.305632,-.344122
3.8117874,1,1.195932,.5916087
5,0,-.2413096,-.4215137
5,0,.3425688,.1818707
5,0,.1587103,-.4594025
5,0,-.4907179,.0784769
1.6345224,1,-.0995848,-1.261261
.86177911,1,.2462896,1.548429
5,0,.8485599,1.479621
3.0427619,1,-.8537275,-.1944531
.7551932,1,.8143438,.2182638
5,0,1.286474,-.4880612
5,0,.69469,-.2556299
5,0,.4833683,.1508452
5,0,-2.015382,-.1675019
1.4831436,1,-.9183446,-.0784628
5,0,-1.060814,1.087916
1.0973199,1,1.538149,-.4845756
.86139375,1,-1.332336,1.294569
5,0,.6715418,-.6620862
5,0,-.9330046,-.5571284
5,0,-2.125077,.3017918
1.9323049,1,.6409408,1.98741
2.3550364,1,-.0403555,-.5463174
5,0,-.5466247,.2848049
2.3295579,1,.4393362,-.3368355
4.5363676,1,.2563006,-.9998469
.26137555,1,-.6857334,1.140053
.06004,1,-1.195935,-1.154006
2.6108943,1,-.2943048,.3596704
5,0,-.0889998,.4228026
2.1327982,1,-.8627865,.9613675
.78586388,1,.2652083,1.022087
5,0,1.082886,.4195687
2.1137189,1,-.3521036,-1.314382
5,0,.2797665,.3086866
5,0,.1209338,1.552361
2.1516409,1,-.4972917,-.383384
.36825492,1,.8372639,.9908221
5,0,-.9934738,-.4802138
5,0,.7916429,-1.255959
2.1944885,1,.6645201,-.2009558
.01650961,1,-.5913083,1.461386
1.3507765,1,-.1871801,-1.122215
5,0,-.7641044,-.197001
5,0,.7135242,.9891216
5,0,2.371841,.549
1.6911011,1,-.4068334,.7935113
1.8659451,1,-.4793953,.8738894
4.7566792,1,-.5477871,-1.007565
5,0,-.8558727,.0094707
2.8925637,1,.2668463,-1.313799
.43576589,1,.2769521,.4516906
5,0,.4952954,-1.289936
.83264959,1,-.3181955,.3541779
5,0,2.150094,-1.532886
5,0,.5694972,.5976993
1.9223668,1,-.8138817,-.0614066
5,0,-1.373664,1.388669
5,0,.8849882,-.5179591
1.5979484,1,-.6087135,-1.830545
5,0,-1.593821,.5209296
5,0,1.218025,-1.211545
.99529423,1,.1928618,1.091552
4.132142,1,.0371021,.4205772
2.2752528,1,-.2708979,.0300105
5,0,-.8723673,.7572989
3.9076688,1,.6913092,-1.487011
4.2142389,1,.201307,-.6011201
1.2776643,1,.6581073,.9792744
.06053355,1,.2860491,.3870569
5,0,1.51447,.233357
.48161943,1,.9284588,.2352756
.27724507,1,.5156554,2.122412
2.0175834,1,-.6906021,.3246931
4.1554343,1,-.9988738,-.4686917
1.8652423,1,.0248782,-.6725904
5,0,-.700856,-.1855691
3.0874582,1,-.5031285,-.4533291
3.5849536,1,.345582,1.12431
.83858685,1,.2516285,1.483795
5,0,.3930514,.9579682
5,0,-1.504454,.6012857
5,0,.5753891,.1857324
5,0,.5903854,-.0288388
2.9168323,1,-1.89944,-.3019652
5,0,2.222113,1.032635
.4166785,1,.4099443,.4914898
1.9266582,1,1.338365,.2748355
5,0,-.6186563,.6690476
1.2911836,1,.3508592,-.8903531
5,0,.8051081,.3120807
5,0,-.1346441,.6039237
3.203261,1,2.757577,.3545464
5,0,-2.051614,-1.222602
3.5186713,1,-.5904652,.2527735
.11731555,1,-.5192961,.16252
2.4892064,1,-.1035606,1.204888
2.6123848,1,1.346631,-.3537008
.08606496,1,-1.764862,.6987281
5,0,-1.297929,-1.571655
3.1149306,1,-.216693,-1.871086
3.7000287,1,.1499396,-1.393195
1.4875356,1,-.763998,1.339662
2.3858379,1,-.4671901,.5041649
2.799455,1,.6613031,.3542272
5,0,.4158074,.1350915
5,0,.3393946,-.7567363
5,0,-1.164738,1.348022
5,0,-.0647941,1.275187
5,0,2.868248,1.151159
2.9326893,1,1.391154,-1.710674
1.4067491,1,.799081,.4814231
5,0,-.2842205,-.5057601
5,0,-.8265498,-.9170811
3.5224444,1,-.8549414,1.522746
.00478837,1,.8879194,2.778638
5,0,.0059638,-1.104464
1.2888481,1,-.0649588,-.813611
5,0,.497497,-.3642266
5,0,-.4250742,-.9970188
5,0,.4908167,.3214231
5,0,-.3464321,-1.959346
.55927618,1,.5303724,-.8328048
5,0,-1.974193,1.226791
4.6204888,1,.7639657,-.2220569
1.5480356,1,-.769249,-.4183676
5,0,-.9946563,-.6702847
1.112895,1,-.8259386,-1.511868
.21006283,1,-.8521652,-1.252524
5,0,-.2639996,-.8276709
.34093151,1,.9767748,-.3553755
5,0,-1.329791,1.494416
.61722154,1,-.71526,-.6904933
.07775125,1,-.4337365,1.788505
5,0,2.028931,-.4965342
4.1119333,1,1.070164,-.2728459
5,0,-1.03549,-.6188922
1.1155143,1,-2.069427,2.256846
5,0,.5606008,.711009
.08913877,1,.487129,.4269875
5,0,-.7995349,.6644282
5,0,-.3319079,.9234393
5,0,-.0566944,-1.880913
5,0,-.8550044,.7973742
5,0,-.4945166,.8496618
4.104538,1,2.236307,-.0606532
3.5115703,1,-2.319903,-1.853324
3.057471,1,.0526667,1.083277
5,0,.1105579,1.73765
5,0,-.9711651,.389942
5,0,.0286851,-.5572975
1.9991262,1,.0642216,1.036275
1.2746136,1,-.7561492,.7942821
5,0,-.5546631,.8564081
1.6165507,1,-1.122023,-.7878717
4.4774537,1,-1.703167,-.16051
5,0,-1.904222,.183041
5,0,-1.289527,.4582408
5,0,-3.172527,.0715086
5,0,-.598546,-.0090763
1.2185116,1,1.352124,-.4596398
5,0,-.146302,-.0325974
5,0,.2147501,1.429983
.32372473,1,-.7530316,.2782508
5,0,-.2617303,-1.421275
2.0441326,1,.9192349,2.518139
1.4921871,1,.0941087,-.3878843
.71854838,1,-.3351986,.500842
5,0,2.644684,1.071462
5,0,-.32153,-1.874708
5,0,-1.182351,.8415727
2.0812318,1,-3.025027,.6442102
.13942154,1,1.076273,.4589559
2.5009193,1,-.7666495,.5964619
5,0,.3927553,-.8543527
5,0,1.49558,1.352361
3.869911,1,-1.449653,-1.44642
.9573259,1,1.477056,.1009982
5,0,1.043217,.3225305
.75672537,1,.1520792,-1.144846
1.245704,1,-.5428593,-.8734718
1.9897153,1,.4549031,.2109757
5,0,-.1702651,-1.215943
5,0,-1.820429,.2443818
5,0,-.7275257,.213353
2.6221982,1,.0254681,-.7227206
3.1061262,1,-.3668244,-.539114
5,0,.3989209,.7636435
5,0,.3414952,-.2392169
.7688704,1,.2446642,-.8820767
.03605589,1,-.1502985,1.806396
5,0,.3073677,-1.875898
5,0,-.6546544,.9645367
5,0,1.825761,-.5525591
4.3143614,1,-.765323,1.382401
5,0,-.2144468,.3590021
2.456877,1,.5372429,.9507582
.23372945,1,-.1300775,1.183173
1.1148447,1,-.9349737,-.4283216
5,0,.5954775,-2.147126
5,0,.0585296,-1.785279
1.5267913,1,2.129907,.3514072
4.7644594,1,.9247168,1.509134
2.0253908,1,-.6921284,1.521491
4.9252803,1,-.8046225,.0614174
.36905361,1,-.0329926,-.0551063
5,0,.4292915,-.3547389
.32764679,1,1.24625,.8815321
5,0,-.2575446,-.5179499
5,0,.8770555,-.148366
3.6326787,1,.4414243,.8937916
5,0,-1.101589,-.6374956
5,0,.5062547,-.6435363
4.0641174,1,-.4108589,.7533009
5,0,-1.42295,.2910232
5,0,1.256009,.0174715
5,0,-.5779734,-.6595159
.09830042,1,-.9630743,.6276118
1.4850348,1,2.41312,.0765435
1.2643228,1,-.1936023,.0859021
4.5195776,1,.6245611,.1121213
2.7689188,1,-1.814327,.3014597
1.5398808,1,.1957507,-.204029
1.8966498,1,-1.696926,-.2948982
3.3224247,1,.385131,-.1730808
3.8876366,1,-.1653281,.0987687
2.4372825,1,1.251668,1.096357
5,0,-2.765917,-.3157452
5,0,-.4628492,1.437719
4.3145443,1,.4933817,1.214878
.15240635,1,1.277871,1.695524
3.1555452,1,1.921427,-.1639842
5,0,-.2309498,.4246792
1.5777674,1,-.6111304,.0094876
3.5651313,1,-1.022183,-1.59894
5,0,-.7082568,-1.646016
1.5225682,1,.2358304,-1.441423
.04592172,1,-1.084571,1.19489
5,0,-1.252757,.6970398
.33135756,1,.0705171,-.1686091
.62350016,1,-.5481287,-.1610969
.27487249,1,-1.598215,.7490324
5,0,-1.057839,.0575505
5,0,1.393172,-1.225402
5,0,-1.138844,-.277361
5,0,-.0919705,-.3851073
1.4153149,1,-.4424471,-.5401363
4.8549492,1,-1.377094,.8730249
1.0604028,1,1.644322,1.745771
.92137142,1,-.4750893,-1.48559
5,0,-.609327,-1.101968
5,0,-1.149925,-.8559261
3.7243935,1,1.376588,.2241008
1.205213,1,-.5437871,-.6005206
.18050608,1,1.457858,.3029504
1.9034223,1,-1.825845,.9349546
1.7942671,1,-.5280238,.1389815
.92339024,1,-.703397,.2619318
.92637607,1,.4942656,-.595039
5,0,-1.138918,.5885481
5,0,.8399003,-.1104361
5,0,-1.240491,.3590292
5,0,1.04705,1.059192
.92956231,1,.9673686,-.0170014
5,0,.1303812,2.04132
5,0,.7641171,2.468667
1.9803177,1,-.3867593,-1.534791
5,0,1.667403,-1.319217
4.3348017,1,1.652699,-.3661362
5,0,-1.818721,.0551332
5,0,.5104613,-.8076658
5,0,.1260844,1.417667
3.8034454,1,-.0331487,-1.959408
.56658376,1,-.219497,-.247022
5,0,-.4208133,.3346421
5,0,.8567224,-.4416639
.48456139,1,-1.493287,-.9286882
5,0,-.6535992,-1.564166
2.7865027,1,.0962242,-.3714537
.1377731,1,-1.016067,-2.656225
.30788422,1,.1139251,.373019
5,0,2.519518,-.1007586
5,0,-.5280956,-.7406873
5,0,.3039161,.0231951
4.2488112,1,-.1553989,1.280691
5,0,1.261931,1.061909
5,0,.2280887,.0365043
5,0,2.076667,-.6659775
5,0,.7613863,.3754662
5,0,-.1901802,1.823208
5,0,-.4538422,1.096286
1.9541762,1,1.359058,1.41653
1.004342,1,.5533859,1.666456
5,0,.6408563,-.545478
5,0,.773707,-.0105549
5,0,-.182856,.0892494
5,0,-.9619192,.9367452
.12186986,1,-.3934642,.1355871
5,0,-1.010659,.089394
3.5200548,1,1.68702,2.202451
4.3583523,1,-.4124674,1.205763
5,0,-2.249265,.5095652
2.399432,1,1.354569,.226901
5,0,.7659265,-1.696792
1.4982548,1,1.172521,.2137273
5,0,-.961527,-.2724184
1.8495798,1,2.011914,.5873361
5,0,.5475628,-.2117922
5,0,.3528967,.2710154
.05137021,1,-1.219851,-1.078375
5,0,1.129232,2.236187
5,0,1.08251,-2.316613
1.2510096,1,.1043629,.9458647
2.2617893,1,.3164937,.8165226
5,0,-1.498541,.7725268
4.7813249,1,.683752,1.400491
4.3370102,1,-.1762065,.489787
.38192268,1,1.016462,.9523754
1.2318672,1,1.60322,-2.028125
2.4964748,1,.7805429,.0565543
1.1390481,1,.1455533,1.794479
5,0,-.7307634,-1.366183
5,0,.723968,2.521178
2.9158418,1,.9783731,-.616814
2.6076716,1,1.879345,-.6329733
5,0,.7983264,1.142894
.85582534,1,-.6102015,.3355186
5,0,.6267492,-.0421544
2.4978175,1,.1250688,1.953599
1.9205268,1,-.5582966,1.384743
5,0,.3561898,-1.210347
3.6638923,1,.4863481,.3623711
5,0,-.3404257,.1793119
5,0,-1.757095,-.6702893
1.3710508,1,-.7813311,.3941671
4.2816077,1,2.345462,-.2558767
2.2910645,1,.4542597,.173149
5,0,.431865,-.7728405
5,0,.8447568,-1.358188
.31648441,1,-1.155079,-.4715541
.01843132,1,.0228371,.2240275
5,0,.0514614,.5205296
.71020268,1,.2736263,.5911648
5,0,.4537734,.6011084
5,0,1.636289,-1.538613
4.4198646,1,-.1734765,-.0957798
3.7537902,1,-.7416877,-.565414
.68111198,1,.27578,.7315307
.37059685,1,-.1592178,1.135283
5,0,-1.019036,.8659551
2.2281071,1,-1.16057,.4594727
5,0,-.217631,1.092823
.11728083,1,.3780021,-.4992571
1.0001099,1,.9599629,.292962
4.6710553,1,1.572008,-.0485847
5,0,-.269522,-1.34955
2.4832663,1,.1286784,-.377338
2.8538864,1,-2.392579,-2.646806
.22403707,1,-.3838302,.9923221
.20623367,1,1.544926,-1.323264
1.7466523,1,.969542,1.20904
5,0,-1.888146,-.9138006
3.4070613,1,-.0143847,.8448908
5,0,.748879,.7800785
5,0,-.8908063,.8570542
2.5122003,1,.6157627,.8820847
5,0,.7528607,-1.610108
5,0,1.3477,-.0347089
5,0,1.122371,1.703182
5,0,-.8007351,-2.083153
2.6257378,1,1.550373,-.0081279
5,0,.2498873,-1.177306
4.8057508,1,1.041929,.2041746
1.3213512,1,.5468094,-1.614213
1.3429681,1,-.9671869,.238998
.85760392,1,-.6345488,-1.87653
.37064964,1,-.9116259,-.0739543
5,0,-1.694391,-1.672578
.90044998,1,1.266174,.5034695
5,0,.2546162,.5066683
2.2941269,1,1.615812,-1.612091
.01837911,1,1.01,.8716186
.6251143,1,.5868414,-.5107282
5,0,.0016501,.8162494
5,0,-2.26303,-1.348238
1.3111894,1,-.969258,.2500144
1.3979812,1,.854315,.398721
5,0,.0405944,.1493167
5,0,-.2678725,-1.772214
3.2566411,1,-.5825545,.2467879
1.0315009,1,-.5332713,.8995693
2.9758883,1,-1.455977,.1233901
5,0,.5601613,.491652
5,0,-1.190947,-.1834563
2.9384347,1,.3334511,1.203424
1.9716801,1,-1.00006,.0950719
1.4415741,1,-1.214973,1.197348
5,0,.6369311,.0911567
3.9081311,1,.1396203,-.6182061
5,0,-.6894144,-.3696815
3.4062646,1,-.3925008,1.411763
5,0,1.403017,-.1650628
5,0,.8406892,-2.268289
1.7685819,1,1.374187,.3207849
5,0,-.3144178,-.3452111
5,0,-.1464914,1.649965
5,0,.018156,.9368316
5,0,.0979502,1.444236
5,0,-1.190625,-.2488218
5,0,.4023571,-.2381362
4.3066444,1,.7528648,1.242336
5,0,.332668,-.5787014
5,0,.0375514,-1.886166
5,0,-1.864781,-.2562404
4.8662463,1,.9351734,1.061924
2.2623053,1,-.7913538,-.3025056
5,0,-1.222161,-1.036773
5,0,-.7984849,-.9849352
.68665561,1,1.488305,-.5067303
3.3550344,1,-.1726199,-1.458611
5,0,-.8520176,.2481396
5,0,-1.30396,-.5928883
4.8505368,1,-.6739984,-1.161571
1.41773,1,.5104091,1.208939
2.3901556,1,-.1197057,-.0061806
2.8563406,1,-.7464564,-.4965806
5,0,-.0922996,.7854882
4.7411138,1,1.42626,-.4424638
5,0,-1.031316,1.597793
1.0977598,1,1.418091,-1.007264
5,0,-1.351563,-.4505369
1.3318475,1,-.1184826,.0015109
.71194744,1,.3968488,.4070688
5,0,-1.561989,.8929869
5,0,.4296398,1.584903
2.6911576,1,1.604543,1.201565
3.1086405,1,.2451056,-1.061756
5,0,-.0208327,1.619425
5,0,-.3127438,-1.353361
1.8720037,1,1.757828,-.7753872
5,0,1.323645,1.0878
5,0,2.161308,.1749938
4.9035194,1,.218823,3.034057
1.5392246,1,.0970971,-.97035
5,0,-1.34874,.2361051
4.8380928,1,-.1556144,-1.142909
5,0,-.4634608,1.299271
.12733908,1,.7302989,1.85986
5,0,.6454177,-1.362555
.03573731,1,-1.022425,-1.274094
5,0,1.235111,.3285166
5,0,.500497,-.1203808
.84979647,1,.3328495,.7425522
2.2412528,1,.2136105,-.1630191
5,0,.1202618,1.330359
.00103524,1,-1.633286,-.3682582
1.8463909,1,1.821245,-.2230424
4.3548037,1,-.1623584,-1.576883
5,0,.3983654,-1.178932
5,0,-.3689782,-.5419096
.55042202,1,-.5567421,-.821883
5,0,.0243329,.0763356
1.0294024,1,1.209292,-1.29371
5,0,-1.521357,1.071162
5,0,-1.096483,.8009641
1.1464109,1,-.2499654,.3314285
5,0,-1.691688,.3583168
1.8486279,1,.5991132,.7472874
1.5038804,1,2.206025,-.1431704
5,0,.1979847,1.829662
1.2741501,1,.7796713,-1.333402
.28574528,1,.2615868,.0591338
3.1785803,1,.0808871,2.397079
5,0,1.616251,.7226268
5,0,-.3845842,-1.301384
4.0043448,1,.4458605,-1.773618
5,0,-.7359169,-.6101448
.90180752,1,-.128904,-.2337692
5,0,.0648167,-.5984237
5,0,-.7296672,1.577404
2.8275835,1,.4812387,-.8884156
3.7860805,1,.7773113,.4847607
1.1740677,1,1.47174,.1553698
5,0,.4099766,.8084484
5,0,.050096,-1.648999
.15219307,1,1.062925,-.0760487
1.5956306,1,-.2880573,-.7302808
5,0,.0284521,1.067957
.15950097,1,1.35161,.8820702
5,0,1.803229,.5843375
.36157423,1,.8597755,.7948849
5,0,-.5597714,-.9250258
5,0,1.307104,-1.062759
3.4796428,1,2.560598,-.2932798
1.4149909,1,1.778193,-.1270173
1.6029057,1,-1.469805,1.97326
5,0,-1.230638,.6001925
5,0,.4121075,-.2226562
5,0,1.325573,-1.186068
5,0,-.4162896,-.3347962
5,0,2.076456,-.1831863
.29085552,1,-.2188222,-.5368003
.73596322,1,-.3963567,-.094087
5,0,.0356283,.651719
5,0,1.473266,-.1627503
.02520374,1,.8483345,.0910161
5,0,1.27933,-.5977544
1.2221708,1,1.474937,.2869871
.07251954,1,1.959834,1.679078
3.2303784,1,2.347404,.3319051
.01205854,1,-1.243242,1.159646
5,0,-2.260385,.4446919
5,0,.1408461,-.0665263
5,0,.1896365,.4712935
5,0,-.4189489,.4076009
.64376237,1,-.7717448,1.600075
5,0,-.578953,.8393363
1.3932169,1,-1.832448,-.744555
5,0,1.093945,1.190085
5,0,-.6760293,-.6840882
5,0,-1.015361,1.032159
.08066946,1,.5218273,-.199856
5,0,.9059597,.1514519
5,0,1.22654,-2.018239
.7027427,1,-1.081448,.4634833
2.7915394,1,-.7161424,.3564413
5,0,.4376566,.7264788
5,0,-.7394686,-1.422311
1.1104242,1,-2.908195,-1.142495
5,0,1.868199,-1.274708
2.1331826,1,1.595719,-.4979145
4.4456651,1,-.815738,.8301927
5,0,-.4336147,-.320712
5,0,-.4706875,1.335681
5,0,-1.077353,1.131455
5,0,.2120025,.3838984
1.4188208,1,1.772856,.6443962
5,0,1.56162,-.0465802
.00897572,1,.6504656,-.8798943
5,0,-1.363246,1.87284
4.8091677,1,.9110566,1.758908
2.5834118,1,.5596523,-1.522141
5,0,-.4739085,1.585107
5,0,-1.679196,.5972682
5,0,.5728236,-.6330174
.51173605,1,-.0022398,.2384753
5,0,.1135312,1.0004
2.6762697,1,1.381241,.610172
2.3664086,1,.5501824,.2053772
2.870973,1,1.04741,-.1383353
.91908556,1,-1.883006,1.23341
5,0,-.5848869,-.5444485
5,0,-.4890702,-1.173309
5,0,-.6901678,.1243443
5,0,-1.075534,-1.753626
5,0,-.2606409,-.2620313
1.3579141,1,.2369073,1.00921
1.0628619,1,.1670841,-1.091761
2.0208967,1,.307928,.0513105
.54645907,1,.4367279,-.9043981
5,0,-.3782625,-.2746287
.19835763,1,-.8579905,-.345643
5,0,-.2216152,-.3081254
1.9733432,1,-.8676097,.5569535
5,0,-1.335742,-.0624338
5,0,2.376249,.3470609
5,0,-.3454725,-.2738504
4.5934287,1,-.3927419,-.4147271
5,0,1.126522,-.0030678
2.6979384,1,.0823588,.5531966
.28148684,1,.5446,-.7039107
1.2664838,1,-.0793758,-1.597938
5,0,-.9652466,-.0832982
5,0,.6737316,.4483725
5,0,2.086786,.7150202
5,0,.1393688,-.7439845
.10423905,1,-.4213533,-1.318266
5,0,.5212612,-.1863609
5,0,-.6533069,.1587824
3.9999658,1,-.7198663,-.3767252
5,0,.1554565,-.3473167
5,0,-1.611314,.9316626
5,0,-.8489485,.3974514
5,0,.5643763,2.069
.35576906,1,-.2013126,-.1032411
.140334,1,-.6064447,-.2398813
.39248007,1,.376901,-1.506819
.24193319,1,.0720268,-1.905151
.30651605,1,.5315148,-.3170382
.75781825,1,-.462313,.3095254
2.1681462,1,-.7794866,1.194261
2.3650844,1,.0513549,1.199845
.50481574,1,-1.649853,2.777605
1.9688267,1,.4178359,1.367196
5,0,-.1808009,1.309572
5,0,-.7916679,.2488696
5,0,.7226061,.8036138
5,0,.6583454,.0097363
5,0,-1.089335,-1.745344
5,0,.1642758,.406922
5,0,-.9207478,1.138229
5,0,-1.574006,-.3230088
5,0,1.781473,.9277938
5,0,-1.216294,-.3365084
5,0,.0666571,-.0437471
2.0541015,1,-.9101666,.9804941
1.2458722,1,-.3097128,-.5471978
1.1822224,1,-.589821,-1.89032
5,0,-1.035613,-.7270165
5,0,.0414744,.2953946
3.951912,1,.5719234,-.5799799
4.314975,1,1.795238,-.1707903
5,0,-1.323063,-.8647618
1.2341545,1,1.598801,-.5212085
.47952648,1,-.86629,1.570313
